timestamp,load,hour,day_of_week,month,year
2023-01-01 00:00:00,5317.916666666666,0,6,1,2023
2023-01-01 01:00:00,5271.333333333333,1,6,1,2023
2023-01-01 02:00:00,5142.833333333333,2,6,1,2023
2023-01-01 03:00:00,5110.25,3,6,1,2023
2023-01-01 04:00:00,5126.833333333333,4,6,1,2023
2023-01-01 05:00:00,5263.75,5,6,1,2023
2023-01-01 06:00:00,5634.083333333333,6,6,1,2023
2023-01-01 07:00:00,5861.666666666666,7,6,1,2023
2023-01-01 08:00:00,5919.416666666667,8,6,1,2023
2023-01-01 09:00:00,6390.833333333333,9,6,1,2023
2023-01-01 10:00:00,6625.75,10,6,1,2023
2023-01-01 11:00:00,6572.583333333334,11,6,1,2023
2023-01-01 12:00:00,6510.5,12,6,1,2023
2023-01-01 13:00:00,6309.75,13,6,1,2023
2023-01-01 14:00:00,6269.25,14,6,1,2023
2023-01-01 15:00:00,6244.75,15,6,1,2023
2023-01-01 16:00:00,6142.75,16,6,1,2023
2023-01-01 17:00:00,6295.5,17,6,1,2023
2023-01-01 18:00:00,7086.0,18,6,1,2023
2023-01-01 19:00:00,7191.25,19,6,1,2023
2023-01-01 20:00:00,7124.75,20,6,1,2023
2023-01-01 21:00:00,6891.75,21,6,1,2023
2023-01-01 22:00:00,6268.0,22,6,1,2023
2023-01-01 23:00:00,5934.0,23,6,1,2023
2023-01-02 00:00:00,5522.5,0,0,1,2023
2023-01-02 01:00:00,5354.75,1,0,1,2023
2023-01-02 02:00:00,5255.75,2,0,1,2023
2023-01-02 03:00:00,5287.25,3,0,1,2023
2023-01-02 04:00:00,5295.0,4,0,1,2023
2023-01-02 05:00:00,5331.75,5,0,1,2023
2023-01-02 06:00:00,5829.25,6,0,1,2023
2023-01-02 07:00:00,6097.5,7,0,1,2023
2023-01-02 08:00:00,6462.75,8,0,1,2023
2023-01-02 09:00:00,6858.0,9,0,1,2023
2023-01-02 10:00:00,6952.75,10,0,1,2023
2023-01-02 11:00:00,6952.0,11,0,1,2023
2023-01-02 12:00:00,6737.0,12,0,1,2023
2023-01-02 13:00:00,6732.25,13,0,1,2023
2023-01-02 14:00:00,6604.25,14,0,1,2023
2023-01-02 15:00:00,6425.0,15,0,1,2023
2023-01-02 16:00:00,6219.25,16,0,1,2023
2023-01-02 17:00:00,6273.0,17,0,1,2023
2023-01-02 18:00:00,7125.25,18,0,1,2023
2023-01-02 19:00:00,7422.75,19,0,1,2023
2023-01-02 20:00:00,7166.75,20,0,1,2023
2023-01-02 21:00:00,7006.25,21,0,1,2023
2023-01-02 22:00:00,6576.5,22,0,1,2023
2023-01-02 23:00:00,6072.25,23,0,1,2023
2023-01-03 00:00:00,5688.25,0,1,1,2023
2023-01-03 01:00:00,5406.25,1,1,1,2023
2023-01-03 02:00:00,5346.0,2,1,1,2023
2023-01-03 03:00:00,5349.25,3,1,1,2023
2023-01-03 04:00:00,5313.5,4,1,1,2023
2023-01-03 05:00:00,5427.75,5,1,1,2023
2023-01-03 06:00:00,5788.0,6,1,1,2023
2023-01-03 07:00:00,6182.5,7,1,1,2023
2023-01-03 08:00:00,6480.25,8,1,1,2023
2023-01-03 09:00:00,6785.25,9,1,1,2023
2023-01-03 10:00:00,6946.25,10,1,1,2023
2023-01-03 11:00:00,6998.25,11,1,1,2023
2023-01-03 12:00:00,6794.0,12,1,1,2023
2023-01-03 13:00:00,6729.25,13,1,1,2023
2023-01-03 14:00:00,6669.0,14,1,1,2023
2023-01-03 15:00:00,6650.25,15,1,1,2023
2023-01-03 16:00:00,6315.5,16,1,1,2023
2023-01-03 17:00:00,6510.0,17,1,1,2023
2023-01-03 18:00:00,7350.75,18,1,1,2023
2023-01-03 19:00:00,7532.5,19,1,1,2023
2023-01-03 20:00:00,7363.75,20,1,1,2023
2023-01-03 21:00:00,7195.5,21,1,1,2023
2023-01-03 22:00:00,6749.0,22,1,1,2023
2023-01-03 23:00:00,6112.75,23,1,1,2023
2023-01-04 00:00:00,5621.25,0,2,1,2023
2023-01-04 01:00:00,5537.75,1,2,1,2023
2023-01-04 02:00:00,5558.5,2,2,1,2023
2023-01-04 03:00:00,5431.25,3,2,1,2023
2023-01-04 04:00:00,5427.25,4,2,1,2023
2023-01-04 05:00:00,5551.0,5,2,1,2023
2023-01-04 06:00:00,5903.75,6,2,1,2023
2023-01-04 07:00:00,6146.5,7,2,1,2023
2023-01-04 08:00:00,6372.25,8,2,1,2023
2023-01-04 09:00:00,6758.0,9,2,1,2023
2023-01-04 10:00:00,6851.5,10,2,1,2023
2023-01-04 11:00:00,6835.25,11,2,1,2023
2023-01-04 12:00:00,6731.75,12,2,1,2023
2023-01-04 13:00:00,6835.0,13,2,1,2023
2023-01-04 14:00:00,6776.0,14,2,1,2023
2023-01-04 15:00:00,6714.25,15,2,1,2023
2023-01-04 16:00:00,6479.5,16,2,1,2023
2023-01-04 17:00:00,6435.25,17,2,1,2023
2023-01-04 18:00:00,6849.0,18,2,1,2023
2023-01-04 19:00:00,6979.5,19,2,1,2023
2023-01-04 20:00:00,7106.75,20,2,1,2023
2023-01-04 21:00:00,7031.75,21,2,1,2023
2023-01-04 22:00:00,6645.75,22,2,1,2023
2023-01-04 23:00:00,6168.75,23,2,1,2023
2023-01-05 00:00:00,5822.0,0,3,1,2023
2023-01-05 01:00:00,5645.0,1,3,1,2023
2023-01-05 02:00:00,5566.25,2,3,1,2023
2023-01-05 03:00:00,5440.5,3,3,1,2023
2023-01-05 04:00:00,5413.5,4,3,1,2023
2023-01-05 05:00:00,5558.0,5,3,1,2023
2023-01-05 06:00:00,5958.75,6,3,1,2023
2023-01-05 07:00:00,6298.0,7,3,1,2023
2023-01-05 08:00:00,6668.5,8,3,1,2023
2023-01-05 09:00:00,6975.0,9,3,1,2023
2023-01-05 10:00:00,7007.5,10,3,1,2023
2023-01-05 11:00:00,7000.0,11,3,1,2023
2023-01-05 12:00:00,6762.75,12,3,1,2023
2023-01-05 13:00:00,6737.5,13,3,1,2023
2023-01-05 14:00:00,6691.25,14,3,1,2023
2023-01-05 15:00:00,6695.75,15,3,1,2023
2023-01-05 16:00:00,6460.5,16,3,1,2023
2023-01-05 17:00:00,6523.25,17,3,1,2023
2023-01-05 18:00:00,7460.25,18,3,1,2023
2023-01-05 19:00:00,7574.5,19,3,1,2023
2023-01-05 20:00:00,7434.25,20,3,1,2023
2023-01-05 21:00:00,7247.0,21,3,1,2023
2023-01-05 22:00:00,6842.5,22,3,1,2023
2023-01-05 23:00:00,6376.0,23,3,1,2023
2023-01-06 00:00:00,5930.5,0,4,1,2023
2023-01-06 01:00:00,5561.5,1,4,1,2023
2023-01-06 02:00:00,5583.5,2,4,1,2023
2023-01-06 03:00:00,5444.5,3,4,1,2023
2023-01-06 04:00:00,5414.5,4,4,1,2023
2023-01-06 05:00:00,5556.25,5,4,1,2023
2023-01-06 06:00:00,5564.25,6,4,1,2023
2023-01-06 07:00:00,5663.25,7,4,1,2023
2023-01-06 08:00:00,5595.75,8,4,1,2023
2023-01-06 09:00:00,5623.75,9,4,1,2023
2023-01-06 10:00:00,5689.5,10,4,1,2023
2023-01-06 11:00:00,5749.0,11,4,1,2023
2023-01-06 12:00:00,5637.0,12,4,1,2023
2023-01-06 13:00:00,5574.75,13,4,1,2023
2023-01-06 14:00:00,5629.5,14,4,1,2023
2023-01-06 15:00:00,5545.5,15,4,1,2023
2023-01-06 16:00:00,5587.25,16,4,1,2023
2023-01-06 17:00:00,5788.75,17,4,1,2023
2023-01-06 18:00:00,6724.75,18,4,1,2023
2023-01-06 19:00:00,7191.75,19,4,1,2023
2023-01-06 20:00:00,7301.0,20,4,1,2023
2023-01-06 21:00:00,7212.0,21,4,1,2023
2023-01-06 22:00:00,6822.75,22,4,1,2023
2023-01-06 23:00:00,6197.25,23,4,1,2023
2023-01-07 00:00:00,5706.25,0,5,1,2023
2023-01-07 01:00:00,5507.5,1,5,1,2023
2023-01-07 02:00:00,5390.75,2,5,1,2023
2023-01-07 03:00:00,5361.0,3,5,1,2023
2023-01-07 04:00:00,5358.25,4,5,1,2023
2023-01-07 05:00:00,5569.75,5,5,1,2023
2023-01-07 06:00:00,5841.25,6,5,1,2023
2023-01-07 07:00:00,5941.5,7,5,1,2023
2023-01-07 08:00:00,6109.0,8,5,1,2023
2023-01-07 09:00:00,6415.75,9,5,1,2023
2023-01-07 10:00:00,6602.75,10,5,1,2023
2023-01-07 11:00:00,6771.5,11,5,1,2023
2023-01-07 12:00:00,6727.75,12,5,1,2023
2023-01-07 13:00:00,6753.5,13,5,1,2023
2023-01-07 14:00:00,6777.25,14,5,1,2023
2023-01-07 15:00:00,6672.5,15,5,1,2023
2023-01-07 16:00:00,6641.25,16,5,1,2023
2023-01-07 17:00:00,6673.75,17,5,1,2023
2023-01-07 18:00:00,7614.25,18,5,1,2023
2023-01-07 19:00:00,7923.75,19,5,1,2023
2023-01-07 20:00:00,7850.5,20,5,1,2023
2023-01-07 21:00:00,7479.25,21,5,1,2023
2023-01-07 22:00:00,6828.5,22,5,1,2023
2023-01-07 23:00:00,6252.5,23,5,1,2023
2023-01-08 00:00:00,5709.5,0,6,1,2023
2023-01-08 01:00:00,5501.25,1,6,1,2023
2023-01-08 02:00:00,5439.25,2,6,1,2023
2023-01-08 03:00:00,5409.75,3,6,1,2023
2023-01-08 04:00:00,5376.75,4,6,1,2023
2023-01-08 05:00:00,5522.5,5,6,1,2023
2023-01-08 06:00:00,6091.25,6,6,1,2023
2023-01-08 07:00:00,6653.0,7,6,1,2023
2023-01-08 08:00:00,6502.5,8,6,1,2023
2023-01-08 09:00:00,6732.25,9,6,1,2023
2023-01-08 10:00:00,6727.5,10,6,1,2023
2023-01-08 11:00:00,6714.75,11,6,1,2023
2023-01-08 12:00:00,6532.25,12,6,1,2023
2023-01-08 13:00:00,6587.25,13,6,1,2023
2023-01-08 14:00:00,6641.5,14,6,1,2023
2023-01-08 15:00:00,6623.75,15,6,1,2023
2023-01-08 16:00:00,6515.75,16,6,1,2023
2023-01-08 17:00:00,6749.25,17,6,1,2023
2023-01-08 18:00:00,7812.0,18,6,1,2023
