datetime,reseau_rin_mw
2023-01-01 00:00:00,5380.333333333333
2023-01-01 00:15:00,5356.333333333333
2023-01-01 00:30:00,5286.666666666667
2023-01-01 00:45:00,5248.333333333333
2023-01-01 01:00:00,5302.333333333333
2023-01-01 01:15:00,5258.333333333333
2023-01-01 01:30:00,5336.333333333333
2023-01-01 01:45:00,5188.333333333333
2023-01-01 02:00:00,5158.333333333333
2023-01-01 02:15:00,5196.333333333333
2023-01-01 02:30:00,5097.333333333333
2023-01-01 02:45:00,5119.333333333333
2023-01-01 03:00:00,5145.333333333333
2023-01-01 03:15:00,5091.666666666667
2023-01-01 03:30:00,5048.666666666667
2023-01-01 03:45:00,5155.333333333333
2023-01-01 04:00:00,5174.333333333333
2023-01-01 04:15:00,5049.333333333333
2023-01-01 04:30:00,5112.333333333333
2023-01-01 04:45:00,5171.333333333333
2023-01-01 05:00:00,5267.333333333333
2023-01-01 05:15:00,5201
2023-01-01 05:30:00,5226
2023-01-01 05:45:00,5360.666666666667
2023-01-01 06:00:00,5459.666666666667
2023-01-01 06:15:00,5398.333333333333
2023-01-01 06:30:00,5769.333333333333
2023-01-01 06:45:00,5909
2023-01-01 07:00:00,5900
2023-01-01 07:15:00,5834.333333333333
2023-01-01 07:30:00,5898.333333333333
2023-01-01 07:45:00,5814
2023-01-01 08:00:00,5790
2023-01-01 08:15:00,5918
2023-01-01 08:30:00,5995
2023-01-01 08:45:00,5974.666666666667
2023-01-01 09:00:00,6233.666666666666
2023-01-01 09:15:00,6301
2023-01-01 09:30:00,6437
2023-01-01 09:45:00,6591.666666666666
2023-01-01 10:00:00,6619.666666666666
2023-01-01 10:15:00,6639.333333333334
2023-01-01 10:30:00,6683.333333333334
2023-01-01 10:45:00,6560.666666666666
2023-01-01 11:00:00,6563.666666666666
2023-01-01 11:15:00,6574.333333333334
2023-01-01 11:30:00,6564.333333333334
2023-01-01 11:45:00,6588
2023-01-01 12:00:00,6581
2023-01-01 12:15:00,6526
2023-01-01 12:30:00,6511
2023-01-01 12:45:00,6424
2023-01-01 13:00:00,6310
2023-01-01 13:15:00,6352
2023-01-01 13:30:00,6295
2023-01-01 13:45:00,6282
2023-01-01 14:00:00,6297
2023-01-01 14:15:00,6313
2023-01-01 14:30:00,6203
2023-01-01 14:45:00,6264
2023-01-01 15:00:00,6258
2023-01-01 15:15:00,6298
2023-01-01 15:30:00,6203
2023-01-01 15:45:00,6220
2023-01-01 16:00:00,6204
2023-01-01 16:15:00,6031
2023-01-01 16:30:00,6208
2023-01-01 16:45:00,6128
2023-01-01 17:00:00,6100
2023-01-01 17:15:00,6125
2023-01-01 17:30:00,6367
2023-01-01 17:45:00,6590
2023-01-01 18:00:00,6930
2023-01-01 18:15:00,7102
2023-01-01 18:30:00,7184
2023-01-01 18:45:00,7128
2023-01-01 19:00:00,7249
2023-01-01 19:15:00,7232
2023-01-01 19:30:00,7132
2023-01-01 19:45:00,7152
2023-01-01 20:00:00,7244
2023-01-01 20:15:00,7127
2023-01-01 20:30:00,7049
2023-01-01 20:45:00,7079
2023-01-01 21:00:00,7027
2023-01-01 21:15:00,6957
2023-01-01 21:30:00,6769
2023-01-01 21:45:00,6814
2023-01-01 22:00:00,6368
2023-01-01 22:15:00,6292
2023-01-01 22:30:00,6251
2023-01-01 22:45:00,6161
2023-01-01 23:00:00,6136
2023-01-01 23:15:00,5922
2023-01-01 23:30:00,5860
2023-01-01 23:45:00,5818
2023-01-02 00:00:00,5577
2023-01-02 00:15:00,5599
2023-01-02 00:30:00,5524
2023-01-02 00:45:00,5390
2023-01-02 01:00:00,5405
2023-01-02 01:15:00,5359
2023-01-02 01:30:00,5292
2023-01-02 01:45:00,5363
2023-01-02 02:00:00,5178
2023-01-02 02:15:00,5302
2023-01-02 02:30:00,5265
2023-01-02 02:45:00,5278
2023-01-02 03:00:00,5267
2023-01-02 03:15:00,5296
2023-01-02 03:30:00,5293
2023-01-02 03:45:00,5293
2023-01-02 04:00:00,5316
